filesnames,status,datatype,title,authors,date,licence,identifier,publisher,rightsHolder,rights,collids
6dd08-22.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 47",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-22,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-23.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 49",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-23,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-23bis.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 51",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-23bis,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-24.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 53",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-24,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-25.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 55",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-25,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-26.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 57",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-26,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-27.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 59",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-27,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-28.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 61",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-28,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-29.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 63",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-29,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-30.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 65",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-30,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
